Page Number,Virtual Address,Physical Address,Page Fault,Swap,Evicted,Allocated Page Table Entries
0,0,0,1,0,-1,1
0,4,4,0,0,-1,0
0,8,8,0,0,-1,0
0,12,12,0,0,-1,0
0,16,16,0,0,-1,0
0,20,20,0,0,-1,0
0,24,24,0,0,-1,0
0,28,28,0,0,-1,0
0,32,32,0,0,-1,0
0,36,36,0,0,-1,0
0,40,40,0,0,-1,0
0,44,44,0,0,-1,0
0,48,48,0,0,-1,0
0,52,52,0,0,-1,0
0,56,56,0,0,-1,0
0,60,60,0,0,-1,0
0,64,64,0,0,-1,0
0,68,68,0,0,-1,0
0,72,72,0,0,-1,0
0,76,76,0,0,-1,0
0,80,80,0,0,-1,0
0,84,84,0,0,-1,0
0,88,88,0,0,-1,0
0,92,92,0,0,-1,0
0,96,96,0,0,-1,0
0,100,100,0,0,-1,0
0,104,104,0,0,-1,0
0,108,108,0,0,-1,0
0,112,112,0,0,-1,0
0,116,116,0,0,-1,0
0,120,120,0,0,-1,0
0,124,124,0,0,-1,0
0,128,128,0,0,-1,0
0,132,132,0,0,-1,0
0,136,136,0,0,-1,0
0,140,140,0,0,-1,0
0,144,144,0,0,-1,0
0,148,148,0,0,-1,0
0,152,152,0,0,-1,0
0,156,156,0,0,-1,0
0,160,160,0,0,-1,0
0,164,164,0,0,-1,0
0,168,168,0,0,-1,0
0,172,172,0,0,-1,0
0,176,176,0,0,-1,0
0,180,180,0,0,-1,0
0,184,184,0,0,-1,0
0,188,188,0,0,-1,0
0,192,192,0,0,-1,0
0,196,196,0,0,-1,0
0,200,200,0,0,-1,0
0,204,204,0,0,-1,0
0,208,208,0,0,-1,0
0,212,212,0,0,-1,0
0,216,216,0,0,-1,0
0,220,220,0,0,-1,0
0,224,224,0,0,-1,0
0,228,228,0,0,-1,0
0,232,232,0,0,-1,0
0,236,236,0,0,-1,0
0,240,240,0,0,-1,0
0,244,244,0,0,-1,0
0,248,248,0,0,-1,0
0,252,252,0,0,-1,0
0,256,256,0,0,-1,0
0,260,260,0,0,-1,0
0,264,264,0,0,-1,0
0,268,268,0,0,-1,0
0,272,272,0,0,-1,0
0,276,276,0,0,-1,0
0,280,280,0,0,-1,0
0,284,284,0,0,-1,0
0,288,288,0,0,-1,0
0,292,292,0,0,-1,0
0,296,296,0,0,-1,0
0,300,300,0,0,-1,0
0,304,304,0,0,-1,0
0,308,308,0,0,-1,0
0,312,312,0,0,-1,0
0,316,316,0,0,-1,0
0,320,320,0,0,-1,0
0,324,324,0,0,-1,0
0,328,328,0,0,-1,0
0,332,332,0,0,-1,0
0,336,336,0,0,-1,0
0,340,340,0,0,-1,0
0,344,344,0,0,-1,0
0,348,348,0,0,-1,0
0,352,352,0,0,-1,0
0,356,356,0,0,-1,0
0,360,360,0,0,-1,0
0,364,364,0,0,-1,0
0,368,368,0,0,-1,0
0,372,372,0,0,-1,0
0,376,376,0,0,-1,0
0,380,380,0,0,-1,0
0,384,384,0,0,-1,0
0,388,388,0,0,-1,0
0,392,392,0,0,-1,0
0,396,396,0,0,-1,0
0,400,400,0,0,-1,0
0,404,404,0,0,-1,0
0,408,408,0,0,-1,0
0,412,412,0,0,-1,0
0,416,416,0,0,-1,0
0,420,420,0,0,-1,0
0,424,424,0,0,-1,0
0,428,428,0,0,-1,0
0,432,432,0,0,-1,0
0,436,436,0,0,-1,0
0,440,440,0,0,-1,0
0,444,444,0,0,-1,0
0,448,448,0,0,-1,0
0,452,452,0,0,-1,0
0,456,456,0,0,-1,0
0,460,460,0,0,-1,0
0,464,464,0,0,-1,0
0,468,468,0,0,-1,0
